Graph 1: Score: 8710; Leaf Nodes Examined: 49
Graph 2: Score: 8577; Leaf Nodes Examined: 74
Graph 3: Score: 9012; Leaf Nodes Examined: 91
Graph 4: Score: 8524; Leaf Nodes Examined: 42
Graph 5: Score: 9316; Leaf Nodes Examined: 60
Graph 6: Score: 9866; Leaf Nodes Examined: 249
Graph 7: Score: 9606; Leaf Nodes Examined: 103
Graph 8: Score: 9642; Leaf Nodes Examined: 152
Graph 9: Score: 9603; Leaf Nodes Examined: 153
Graph 10: Score: 512; Leaf Nodes Examined: 56
Graph 11: Score: 508; Leaf Nodes Examined: 148
Graph 12: Score: 511; Leaf Nodes Examined: 177
Graph 13: Score: 510; Leaf Nodes Examined: 135
Graph 14: Score: 913; Leaf Nodes Examined: 166
Graph 15: Score: 967; Leaf Nodes Examined: 149
Graph 16: Score: 1022; Leaf Nodes Examined: 111
Graph 17: Score: 629; Leaf Nodes Examined: 80
Graph 18: Score: 1007; Leaf Nodes Examined: 105
Graph 19: Score: 1015; Leaf Nodes Examined: 152
Graph 20: Score: 789; Leaf Nodes Examined: 106
Graph 21: Score: 1023; Leaf Nodes Examined: 188
Graph 22: Score: 1022; Leaf Nodes Examined: 110
Graph 23: Score: 995; Leaf Nodes Examined: 131
Graph 24: Score: 768; Leaf Nodes Examined: 79
Graph 25: Score: 65535; Leaf Nodes Examined: 11
Graph 26: Score: 65535; Leaf Nodes Examined: 7
Graph 27: Score: 65028; Leaf Nodes Examined: 419
Graph 28: Score: 40119; Leaf Nodes Examined: 365
Graph 29: Score: 65535; Leaf Nodes Examined: 4
Graph 30: Score: 214; Leaf Nodes Examined: 23
Graph 31: Score: 100; Leaf Nodes Examined: 23
Graph 32: Score: 239; Leaf Nodes Examined: 23
Graph 33: Score: 133; Leaf Nodes Examined: 17
Graph 34: Score: 180; Leaf Nodes Examined: 22
Graph 35: Score: 181; Leaf Nodes Examined: 18
Graph 36: Score: 645; Leaf Nodes Examined: 19
Graph 37: Score: 537; Leaf Nodes Examined: 15
Graph 38: Score: 518; Leaf Nodes Examined: 19
Graph 39: Score: 687; Leaf Nodes Examined: 16
Graph 40: Score: 737; Leaf Nodes Examined: 15
Graph 41: Score: 500; Leaf Nodes Examined: 38
Graph 42: Score: 511; Leaf Nodes Examined: 70
Graph 43: Score: 497; Leaf Nodes Examined: 70
Graph 44: Score: 490; Leaf Nodes Examined: 48
Graph 45: Score: 349; Leaf Nodes Examined: 50
Graph 46: Score: 32; Leaf Nodes Examined: 40
Graph 47: Score: 19; Leaf Nodes Examined: 40
Graph 48: Score: 32; Leaf Nodes Examined: 56
Graph 49: Score: 17; Leaf Nodes Examined: 34
Graph 50: Score: 22; Leaf Nodes Examined: 46
